Date,VOO,VTSMX,SWTSX,VGTSX,VEIEX,VFITX,VIPSX,VGSIX,TLT,IBMH
02-01-14,167.630005,46.259998,33.369999,16.51,25.43,11.14,13.03,21.43,102.169998,25.13
03-01-14,167.479996,46.279999,33.380001,16.5,25.26,11.13,13.03,21.59,102.169998,25.13
06-01-14,167.059998,46.130001,33.279999,16.48,25.049999,11.15,13.06,21.690001,102.599998,25.13
07-01-14,168.100006,46.439999,33.5,16.530001,25.08,11.16,13.07,21.76,102.860001,25.13
08-01-14,168.169998,46.459999,33.509998,16.52,25.02,11.12,13.06,21.68,102.580002,25.13
09-01-14,168.270004,46.48,33.52,16.5,24.85,11.13,13.11,21.68,103.18,25.13
10-01-14,168.660004,46.630001,33.619999,16.629999,25.08,11.2,13.17,21.959999,104.410004,25.13
13-01-14,166.520004,46.029999,33.200001,16.549999,25.030001,11.22,13.18,21.82,104.93,25.13
14-01-14,168.25,46.560001,33.57,16.639999,25.26,11.19,13.13,21.99,104.449997,25.13
15-01-14,169.199997,46.799999,33.75,16.690001,25.280001,11.17,13.13,22.120001,104.339996,25.13
16-01-14,168.940002,46.759998,33.709999,16.68,25.190001,11.2,13.14,22.18,105.040001,25.13
17-01-14,168.210007,46.580002,33.59,16.629999,25.059999,11.2,13.17,22.07,105.480003,25.13
21-01-14,168.740005,46.73,33.689999,16.690001,25.040001,11.19,13.15,22.26,105.559998,25.13
22-01-14,168.839996,46.799999,33.75,16.700001,25.200001,11.17,13.12,22.34,105.300003,25.13
23-01-14,167.479996,46.400002,33.459999,16.58,24.83,11.22,13.18,22.27,106.790001,25.13
24-01-14,163.880005,45.389999,32.73,16.190001,24.309999,11.25,13.21,21.99,107.480003,25.13
27-01-14,163.080002,45.119999,32.529999,16.049999,23.99,11.23,13.17,21.82,106.730003,25.13
28-01-14,164.089996,45.43,32.759998,16.18,24.139999,11.24,13.19,22.030001,106.989998,25.13
29-01-14,162.380005,44.959999,32.419998,16.059999,23.91,11.27,13.23,21.9,107.870003,25.13
30-01-14,164.199997,45.5,32.799999,16.110001,24.09,11.26,13.23,22.24,107.559998,25.13
31-01-14,163.179993,45.220001,32.599998,15.95,23.98,11.29,13.26,22.370001,108.279999,25.13
03-02-14,159.610001,44.119999,31.809999,15.69,23.540001,11.33,13.33,21.98,109.32,25.13
04-02-14,160.690002,44.48,32.060001,15.74,23.76,11.31,13.28,22.25,108.160004,25.13
05-02-14,160.419998,44.369999,31.99,15.77,23.65,11.29,13.23,22.209999,107.160004,25.13
06-02-14,162.570007,44.93,32.389999,16.030001,24.07,11.27,13.22,22.4,106.699997,25.13
07-02-14,164.669998,45.52,32.810001,16.219999,24.27,11.3,13.26,22.57,106.790001,25.129999
