Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,Zach LaVine\lavinza01,23-356,G,3/1/19,CHI,@,ATL,W,1,56,17,35,0.486,11,21,0.524,6,14,0.429,7,11,0.636,2,7,9,9,2,0,8,3,47,30.3
2,Trae Young\youngtr01,20-163,G,3/1/19,ATL,,CHI,L,1,56,17,33,0.515,11,20,0.55,6,13,0.462,9,11,0.818,1,7,8,16,1,1,9,2,49,37.8
3,Bradley Beal\bealbr01,25-199,G,1/13/19,WAS,,TOR,L,1,55,17,36,0.472,11,24,0.458,6,12,0.5,3,7,0.429,2,8,10,15,3,2,4,3,43,36.5
4,Devin Booker\bookede01,22-053,G,12/22/18,PHO,@,WAS,L,1,55,12,28,0.429,10,16,0.625,2,12,0.167,7,8,0.875,3,1,4,14,1,1,4,5,33,25.7
5,Otto Porter\porteot01,25-271,F,3/1/19,CHI,@,ATL,W,1,55,10,25,0.4,3,12,0.25,7,13,0.538,4,4,1,2,8,10,4,1,0,3,4,31,20.5
6,Trevor Ariza\arizatr01,33-175,F,12/22/18,WAS,,PHO,W,1,54,5,18,0.278,4,11,0.364,1,7,0.143,3,4,0.75,2,5,7,7,3,0,5,4,14,7.2
7,Bradley Beal\bealbr01,25-177,G,12/22/18,WAS,,PHO,W,1,54,17,33,0.515,13,21,0.619,4,12,0.333,2,2,1,6,5,11,15,0,1,8,5,40,30.6
8,Lauri Markkanen\markkla01,21-283,F-C,3/1/19,CHI,@,ATL,W,1,54,9,18,0.5,6,12,0.5,3,6,0.5,10,12,0.833,2,15,17,2,1,1,1,2,31,28.4
9,Tim Frazier\fraziti01,28-150,G,3/31/19,MIL,@,ATL,L,1,53,8,17,0.471,6,10,0.6,2,7,0.286,2,2,1,5,2,7,15,1,0,5,4,20,20.3
10,T.J. Warren\warretj01,25-108,F,12/22/18,PHO,@,WAS,L,1,53,9,18,0.5,6,12,0.5,3,6,0.5,7,12,0.583,1,7,8,4,2,2,1,3,28,23.8
11,Bradley Beal\bealbr01,25-151,G,11/26/18,WAS,,HOU,W,1,50,12,18,0.667,8,10,0.8,4,8,0.5,4,5,0.8,1,0,1,4,0,2,2,4,32,25.1
12,Paul George\georgpa01,28-296,F,2/22/19,OKC,,UTA,W,1,50,17,31,0.548,12,18,0.667,5,13,0.385,6,6,1,1,8,9,7,1,0,0,3,45,37.9
13,Kyle Lowry\lowryky01,32-294,G,1/13/19,TOR,@,WAS,W,1,50,4,15,0.267,2,5,0.4,2,10,0.2,2,3,0.667,1,4,5,11,2,0,5,4,12,7.7
14,Russell Westbrook\westbru01,30-059,G,1/10/19,OKC,@,SAS,L,1,50,11,22,0.5,11,18,0.611,0,4,0,2,5,0.4,2,11,13,24,2,0,3,4,24,30.7
15,LaMarcus Aldridge\aldrila01,33-175,F-C,1/10/19,SAS,,OKC,W,1,49,20,33,0.606,20,33,0.606,0,0,,16,16,1,4,5,9,4,0,4,5,2,56,45
16,DeMar DeRozan\derozde01,29-156,G-F,1/10/19,SAS,,OKC,W,1,49,7,22,0.318,7,22,0.318,0,0,,2,5,0.4,0,8,8,11,1,1,4,5,16,8
17,Jeff Green\greenje02,32-116,F,12/22/18,WAS,,PHO,W,1,49,4,8,0.5,2,4,0.5,2,4,0.5,10,10,1,1,7,8,0,1,0,0,1,20,19.4
18,Jeremy Lamb\lambje01,26-210,G-F,12/26/18,CHO,@,BRK,L,1,49,11,18,0.611,8,15,0.533,3,3,1,6,7,0.857,2,4,6,3,2,0,0,1,31,28.7
19,Zach LaVine\lavinza01,23-240,G,11/5/18,CHI,@,NYK,W,1,49,13,25,0.52,9,15,0.6,4,10,0.4,11,14,0.786,0,4,4,4,3,2,8,1,41,27.5
20,Trevor Ariza\arizatr01,33-197,F,1/13/19,WAS,,TOR,L,1,48,8,16,0.5,4,6,0.667,4,10,0.4,3,6,0.5,3,6,9,10,1,1,5,6,23,19
21,Jordan Clarkson\clarkjo01,26-251,G,2/13/19,CLE,,BRK,L,0,48,16,34,0.471,9,17,0.529,7,17,0.412,3,3,1,3,5,8,5,1,1,5,2,42,27.6
22,Tim Frazier\fraziti01,28-160,G,4/10/19,MIL,,OKC,L,1,48,10,23,0.435,6,17,0.353,4,6,0.667,5,7,0.714,1,5,6,13,0,1,3,2,29,24.3
23,Joe Harris\harrijo01,27-160,G,2/13/19,BRK,@,CLE,W,1,48,9,12,0.75,5,7,0.714,4,5,0.8,3,3,1,0,4,4,2,0,0,1,3,25,20.6
24,Jake Layman\laymaja01,25-034,F,4/10/19,POR,,SAC,W,1,48,7,15,0.467,5,12,0.417,2,3,0.667,3,5,0.6,0,4,4,2,1,0,4,2,19,9.3
25,Damian Lillard\lillada01,28-253,G,3/25/19,POR,,BRK,W,1,48,10,30,0.333,6,14,0.429,4,16,0.25,7,8,0.875,3,3,6,12,1,0,0,3,31,24.8
26,Tomas Satoransky\satorto01,27-053,G,12/22/18,WAS,,PHO,W,1,48,6,12,0.5,4,8,0.5,2,4,0.5,3,4,0.75,2,2,4,9,1,0,3,3,17,15.7
27,Anfernee Simons\simonan01,19-306,G,4/10/19,POR,,SAC,W,1,48,13,21,0.619,6,10,0.6,7,11,0.636,4,6,0.667,3,3,6,9,1,0,2,2,37,34.2
28,Gary Trent\trentga02,20-082,G,4/10/19,POR,,SAC,W,1,48,8,19,0.421,7,14,0.5,1,5,0.2,2,3,0.667,0,2,2,3,1,1,1,1,19,11.5
29,Derrick White\whitede01,24-192,G,1/10/19,SAS,,OKC,W,1,48,10,17,0.588,9,14,0.643,1,3,0.333,2,2,1,0,5,5,8,2,1,2,4,23,21.3
30,Steven Adams\adamsst01,25-217,C,2/22/19,OKC,,UTA,W,1,47,7,14,0.5,7,14,0.5,0,0,,2,4,0.5,7,3,10,3,5,1,3,2,16,18
31,Marc Gasol\gasolma01,33-305,C,11/30/18,MEM,@,BRK,W,1,47,6,9,0.667,4,5,0.8,2,4,0.5,1,2,0.5,0,15,15,5,2,3,5,4,15,16.2
32,Paul George\georgpa01,28-253,F,1/10/19,OKC,@,SAS,L,1,47,11,25,0.44,8,18,0.444,3,7,0.429,5,7,0.714,1,7,8,1,3,0,2,0,30,20.6
33,Tim Hardaway\hardati02,26-260,G,12/1/18,NYK,,MIL,W,1,47,8,22,0.364,5,14,0.357,3,8,0.375,2,4,0.5,0,4,4,8,0,0,3,2,21,11
34,James Harden\hardeja01,29-092,G,11/26/18,HOU,@,WAS,L,1,47,17,32,0.531,10,17,0.588,7,15,0.467,13,15,0.867,1,7,8,13,3,0,11,4,54,39.9
35,Justin Holiday\holidju01,29-214,F,11/5/18,CHI,@,NYK,W,1,47,2,10,0.2,0,4,0,2,6,0.333,0,0,,0,4,4,3,3,0,0,4,6,4.5
36,Kevin Knox\knoxke01,19-221,F,3/20/19,NYK,,UTA,L,1,47,10,17,0.588,7,11,0.636,3,6,0.5,4,6,0.667,0,8,8,3,0,1,2,1,27,21.1
37,Damian Lillard\lillada01,28-235,G,3/7/19,POR,,OKC,L,1,47,15,28,0.536,12,18,0.667,3,10,0.3,18,20,0.9,1,4,5,9,1,2,3,3,51,43
38,D.J. Wilson\wilsodj01,23-050,F,4/10/19,MIL,,OKC,L,1,47,8,20,0.4,6,13,0.462,2,7,0.286,0,0,,4,13,17,4,1,0,1,1,18,16.3
39,Clint Capela\capelca01,24-230,C,1/3/19,HOU,@,GSW,W,1,46,12,19,0.632,12,19,0.632,0,0,,5,5,1,9,12,21,1,2,1,1,1,29,32.4
40,DeMarre Carroll\carrode01,32-201,F,2/13/19,BRK,@,CLE,W,0,46,5,13,0.385,2,8,0.25,3,5,0.6,5,5,1,3,4,7,1,0,1,1,1,18,14.2
41,Mike Conley\conlemi01,31-050,G,11/30/18,MEM,@,BRK,W,1,46,13,25,0.52,11,18,0.611,2,7,0.286,9,9,1,0,5,5,10,0,1,3,3,37,29.7
42,James Harden\hardeja01,29-206,G,3/20/19,HOU,@,MEM,L,1,46,18,39,0.462,9,22,0.409,9,17,0.529,12,12,1,1,6,7,8,2,2,3,3,57,44.2
43,Joe Ingles\inglejo01,31-143,F-G,2/22/19,UTA,@,OKC,L,1,46,5,10,0.5,0,1,0,5,9,0.556,0,0,,1,4,5,7,3,0,2,3,15,16.6
44,Josh Jackson\jacksjo02,22-054,F-G,4/5/19,PHO,,NOP,W,1,46,15,29,0.517,10,21,0.476,5,8,0.625,0,0,,1,8,9,5,2,0,0,3,35,28.1
45,Jemerrio Jones\jonesje01,24-000,F,4/9/19,LAL,,POR,L,1,46,5,13,0.385,4,11,0.364,1,2,0.5,0,0,,6,9,15,3,2,2,1,2,11,14.5
46,Donovan Mitchell\mitchdo01,22-168,G,2/22/19,UTA,@,OKC,L,1,46,14,35,0.4,10,25,0.4,4,10,0.4,6,6,1,1,3,4,5,0,1,3,2,38,21.1
47,Jamal Murray\murraja01,21-285,G,12/5/18,DEN,@,ORL,W,1,46,10,25,0.4,8,22,0.364,2,3,0.667,9,11,0.818,1,3,4,8,1,0,1,3,31,22.7
48,Austin Rivers\riverau01,26-168,G,1/16/19,HOU,,BRK,L,1,46,5,14,0.357,2,5,0.4,3,9,0.333,0,0,,0,5,5,6,1,1,0,4,13,11
49,Austin Rivers\riverau01,26-171,G,1/19/19,HOU,,LAL,W,1,46,2,8,0.25,1,2,0.5,1,6,0.167,0,0,,1,4,5,5,0,1,0,4,5,4.7
50,Tomas Satoransky\satorto01,27-047,G,12/16/18,WAS,,LAL,W,1,46,4,7,0.571,3,5,0.6,1,2,0.5,2,2,1,2,2,4,5,3,0,2,2,11,13.4
51,Bradley Beal\bealbr01,25-149,G,11/24/18,WAS,,NOP,W,1,45,7,15,0.467,6,11,0.545,1,4,0.25,3,7,0.429,1,5,6,8,1,3,2,3,18,16.4
52,Bradley Beal\bealbr01,25-181,G,12/26/18,WAS,@,DET,L,1,45,10,23,0.435,9,16,0.563,1,7,0.143,0,0,,0,4,4,1,2,2,2,1,21,11.8
53,Bradley Beal\bealbr01,25-260,G,3/15/19,WAS,,CHO,L,1,45,15,29,0.517,8,16,0.5,7,13,0.538,3,3,1,2,3,5,5,1,1,5,3,40,27
54,Bradley Beal\bealbr01,25-254,G,3/9/19,WAS,@,MIN,L,1,45,13,25,0.52,11,15,0.733,2,10,0.2,8,11,0.727,1,9,10,9,1,1,3,3,36,29.7
55,Vince Carter\cartevi01,42-034,G-F,3/1/19,ATL,,CHI,L,0,45,5,14,0.357,2,4,0.5,3,10,0.3,0,0,,1,6,7,1,1,1,1,5,13,7.1
56,Bonzie Colson\colsobo01,23-088,F,4/10/19,MIL,,OKC,L,1,45,7,16,0.438,4,7,0.571,3,9,0.333,4,5,0.8,2,8,10,0,3,0,2,0,21,17
57,Robert Covington\covinro01,28-014,F,12/28/18,MIN,,ATL,L,1,45,10,20,0.5,5,7,0.714,5,13,0.385,3,5,0.6,4,3,7,4,1,3,3,6,28,21.4
58,DeMar DeRozan\derozde01,29-076,G-F,10/22/18,SAS,@,LAL,W,1,45,11,29,0.379,9,24,0.375,2,5,0.4,8,9,0.889,1,7,8,14,1,0,2,3,32,26.1
59,Jeff Green\greenje02,32-106,F,12/12/18,WAS,,BOS,L,1,45,7,11,0.636,5,6,0.833,2,5,0.4,6,7,0.857,2,8,10,2,1,1,0,4,22,22
60,James Harden\hardeja01,29-143,G,1/16/19,HOU,,BRK,L,1,45,16,34,0.471,11,15,0.733,5,19,0.263,21,23,0.913,1,9,10,6,1,1,4,5,58,43.1
61,Kyle Kuzma\kuzmaky01,23-090,F,10/22/18,LAL,,SAS,L,1,45,15,25,0.6,11,15,0.733,4,10,0.4,3,4,0.75,0,8,8,3,0,0,2,1,37,27.2
62,Kawhi Leonard\leonaka01,27-198,F,1/13/19,TOR,@,WAS,W,1,45,15,29,0.517,12,23,0.522,3,6,0.5,8,9,0.889,6,5,11,5,3,2,3,3,41,35.7
63,CJ McCollum\mccolcj01,27-169,G,3/7/19,POR,,OKC,L,1,45,9,24,0.375,6,13,0.462,3,11,0.273,4,4,1,0,5,5,0,1,1,1,4,25,12.4
64,Kelly Olynyk\olynyke01,27-321,C-F,3/6/19,MIA,@,CHO,W,1,45,8,14,0.571,3,7,0.429,5,7,0.714,1,1,1,2,9,11,1,2,1,1,2,22,21.1
65,D'Angelo Russell\russeda01,22-280,G,11/30/18,BRK,,MEM,L,1,45,10,27,0.37,5,13,0.385,5,14,0.357,1,2,0.5,0,1,1,8,3,1,8,2,26,11.5
66,Collin Sexton\sextoco01,20-040,G,2/13/19,CLE,,BRK,L,1,45,10,22,0.455,8,17,0.471,2,5,0.4,2,4,0.5,3,3,6,5,0,0,2,3,24,15.1
67,Klay Thompson\thompkl01,28-277,G-F,11/12/18,GSW,@,LAC,L,1,45,13,31,0.419,8,15,0.533,5,16,0.313,0,0,,1,2,3,2,2,1,3,2,31,16.1
68,Kemba Walker\walkeke02,28-193,G,11/17/18,CHO,,PHI,L,1,45,21,34,0.618,15,20,0.75,6,14,0.429,12,12,1,0,7,7,4,4,0,9,2,60,43.7
69,Nicolas Batum\batumni01,30-012,F-G,12/26/18,CHO,@,BRK,L,1,44,5,7,0.714,3,3,1,2,4,0.5,1,1,1,0,2,2,3,1,0,2,3,13,10.6
70,Bradley Beal\bealbr01,25-165,G,12/10/18,WAS,@,IND,L,1,44,10,27,0.37,6,18,0.333,4,9,0.444,6,7,0.857,1,2,3,3,3,1,4,4,30,16.2
71,Bradley Beal\bealbr01,25-265,G,3/20/19,WAS,@,CHI,L,1,44,7,19,0.368,5,10,0.5,2,9,0.222,11,15,0.733,2,5,7,7,3,2,6,4,27,19.5
72,Bradley Beal\bealbr01,25-230,G,2/13/19,WAS,@,TOR,L,1,44,6,15,0.4,4,8,0.5,2,7,0.286,14,15,0.933,1,2,3,11,1,1,6,3,28,23
73,Mikal Bridges\bridgmi01,22-218,G,4/5/19,PHO,,NOP,W,1,44,2,11,0.182,2,8,0.25,0,3,0,5,5,1,0,4,4,4,1,1,0,2,9,7
74,Kentavious Caldwell-Pope\caldwke01,26-050,G,4/9/19,LAL,,POR,L,1,44,11,31,0.355,6,16,0.375,5,15,0.333,5,7,0.714,0,5,5,8,1,0,2,2,32,19.2
75,Robert Covington\covinro01,27-313,F,10/23/18,PHI,@,DET,L,1,44,6,11,0.545,3,7,0.429,3,4,0.75,1,2,0.5,2,6,8,2,1,1,1,5,16,13.6
76,Damyean Dotson\dotsoda01,24-322,G,3/24/19,NYK,,LAC,L,1,44,7,16,0.438,6,8,0.75,1,8,0.125,3,4,0.75,1,2,3,2,0,0,1,2,18,10.1
77,Andre Drummond\drumman01,25-087,C,11/5/18,DET,,MIA,L,1,44,11,19,0.579,11,19,0.579,0,0,,3,9,0.333,11,13,24,3,1,1,4,3,25,23.9
78,Andre Drummond\drumman01,25-105,C,11/23/18,DET,,HOU,W,1,44,9,18,0.5,9,17,0.529,0,1,0,5,8,0.625,9,11,20,1,3,5,1,1,23,28.2
79,Paul George\georgpa01,28-260,F,1/17/19,OKC,,LAL,L,1,44,9,19,0.474,4,7,0.571,5,12,0.417,4,6,0.667,2,5,7,8,3,0,3,2,27,24.2
80,Rudy Gobert\goberru01,26-241,C,2/22/19,UTA,@,OKC,L,1,44,9,12,0.75,9,12,0.75,0,0,,8,13,0.615,7,10,17,2,1,3,3,5,26,26.6
81,Jerami Grant\grantje01,24-304,F,1/10/19,OKC,@,SAS,L,1,44,10,20,0.5,9,15,0.6,1,5,0.2,4,6,0.667,5,7,12,1,0,3,3,6,25,17.2
82,Blake Griffin\griffbl01,29-221,F,10/23/18,DET,,PHI,W,1,44,20,35,0.571,15,25,0.6,5,10,0.5,5,11,0.455,3,11,14,6,0,1,1,4,50,38.8
83,James Harden\hardeja01,29-186,G,2/28/19,HOU,,MIA,W,1,44,16,32,0.5,8,14,0.571,8,18,0.444,18,18,1,2,5,7,10,4,1,4,1,58,52.2
