City,Population
Amsterdam,821752
Athens,664046
Barcelona,1615000
Berlin,3575000
Bratislava ,424428
Brussels ,1199000
Budapest,1756000
Copenhagen,602481
Dublin,544107
Edinburgh ,482005
Geneva,198979
Hamburg,1810000
Helsinki ,631695
Krakow ,767348
Lisbon,504718
Ljubljana,279631
London,8136000
Luxembourg,590667
Lyon,513275
Madrid ,3174000
Milan,1352000
Munich,1450000
Oporto,214349
Oslo,634293
Paris,2141000
Prague,1281000
Rome,2873000
Stockholm ,962154
Vienna,1868000
Warsaw,1765000
Zurich,1488000
