name,volume,caffeine,density,type
1 oz Pure Liquid Caffeine,1,500,500,coffee
10 Hour Energy Shot,1.93,422,218.7,shot
28 Black Energy Drink,8.46,80,9.5,energy
4C Energy Liquid Water Enhancers,8,60,7.5,energy
4C Energy Rush,8,80,10,energy
5 Alarm Energy Shot,2,100,50,energy
5 Hour Energy,2,200,100,energy
5 Hour Energy Decaf,2,6,3,energy
50 Cal Energy Shot,2,120,60,energy
6 Hour Power,2.03,125,61.6,shot
7-Eleven Energy Shot,2,200,100,shot
7-Up,12,0,0,soda
A&W Cream Soda,12,29,2.4,soda
A&W Root Beer,12,0,0,soda
ABB Diet Turbo,18,90,5,
Ace Energy Drink,16,160,10,energy
Active Brain Energy Shot,0.75,68,90.7,shot
Acute Fruit Energy Drink,15.5,213,13.7,energy
Afri Cola,12,89,7.4,soda
Ale 8 1,12,37,3.1,soda
ALRI Hypershot,2,500,250,shot
Americano Coffee,12,154,12.8,coffee
Ammo Energy Shot,1,171,171,shot
Amp Energy Drink,16,142,8.9,energy
Arby's Jamocha Shake,16,12,0.7,drink
Archer Farms Energy Drink,12,100,8.3,energy
Arizona Arnold Palmer Half and Half,23,43,1.9,energy
Arizona Caution Energy Drink,16,200,12.5,energy
AriZona Extreme Energy Shot,8.3,100,12,shot
Arizona Iced Tea,20,38,1.9,drink
Arriba Horchata Energy,11,76,6.9,energy
Atomic Blast,16,100,6.2,energy
Avitae Caffeinated Water,16.9,45,2.7,drink
AZ Energy Drink,16,200,12.5,energy
B 63 Energy Drink,8.46,80,9.5,energy
BANG Energy Drink,16,357,22.3,energy
Barq's Red Creme Soda,12,0,0,soda
Barq's Root Beer,12,23,1.9,soda
Baskin Robbins Cappuccino Blast,24,234,9.8,cappuccino
Battery Energy Drink,11.2,106,9.5,energy
Battery Juiced Energy Drink,15,144,9.6,energy
Bawls,10,67,6.7,soda
Bawls Cherry,16,100,6.2,soda
Bawls Exxtra,16,150,9.4,soda
Bawls Geek Beer,16,100,6.2,soda
Bazi Energy Drink,2,80,40,energy
Bean and Body Coffee,8,72,9,coffee
Beaver Buzz Energy Drink,8.3,110,13.3,energy
Berocca,8,90,11.2,soda
Big Jak Energy Drink,16,164,10.2,energy
Big Red Soda,12,34,2.8,soda
Big Train Java Chip Ice Coffee,8,49,6.1,coffee
Big Train Spiced Chai,8,65,8.1,drink
Biggby Brewed Coffee,16,200,12.5,coffee
Biggby Creamy Lattes,16,100,6.2,latte
Biggby Espresso,2,100,50,espresso
Biggby Frozen Lattes,16,100,6.2,latte
Biggby Iced Coffee,16,192,12,coffee
Biggby Iced Tea,16,38,2.3,drink
Bing Energy Drink,12,120,10,energy
Blade Energy Drink,16,240,15,energy
Blink Energy Water,16.9,150,8.9,energy
Blood Energy Potion,3.4,80,23.5,energy
BLU Energy Drinks,8.4,80,9.5,energy
Blu Frog Energy Drink,8.46,80,9.5,energy
Blue Bolt,8.46,80,9.5,soda
Blue Charge,8.46,80,9.5,soda
Blue Energy Drink,8.3,80,9.6,energy
Blutonium Energy Drink,2,0,0,energy
Bomba Energy Drink,8.4,75,8.9,energy
Boost Energy Drink,8.46,80,9.5,energy
Boost Nutritional Drink,8,12,1.5,drink
Booty Sweat Energy Drink,8.4,80,9.5,energy
Brain TonIQ,8.4,0,0,shot
Brawndo Energy Drink,16,200,12.5,energy
Brown Rice Tea,8,4,0.5,drink
Bulldog Buzz,11.84,204,17.2,energy
Bulletproof Coffee,8,145,18.1,coffee
Burn Energy Drink,16.91,160,9.5,energy
Buzz Monkey,8.46,78,9.2,energy
BuzzWater,16.9,200,11.8,energy
Cafe Viva Probiotic Coffee,8,125,15.6,coffee
Caffe Mocha,12,152,12.7,mocha
Caffe Nero Coffee,12,80,6.7,coffee
Caffeinated Club Soda,12,34,2.8,drink
Caffeine Energy Drink,12,140,11.7,energy
Canada Dry Green Tea Ginger Ale,12,9,0.8,drink
Canadian Big Buzz Green Machine Energy,16,224,14,energy
Cannabis Energy Drink,8.46,80,9.5,energy
Cappuccino,12,154,12.8,cappuccino
Caribou Brewed Coffee,16,305,19.1,coffee
Celsius Energy Drink,12,200,16.7,energy
Chameleon Cold Brew Coffee,32,2160,67.5,coffee
CHARGE! Super Shot,2,200,100,shot
Cheerwine,12,48,4,soda
Cheetah Power Surge,24,0,0,soda
Cherry Coke,12,34,2.8,soda
Chocolate Milk,8,5,0.6,drink
Choffy (roasted cacao),6,23,3.8,coffee
Cintron Energy Drink,16,170,10.6,energy
Clif Shot Turbo Energy Gel,1.2,100,83.3,soda
Club Mate,16.91,100,5.9,soda
Coca-Cola C2,12,34,2.8,soda
Coca-Cola caffeine free,12,0,0,soda
Coca-Cola Classic,12,34,2.8,soda
Coca-Cola Zero,12,34,2.8,soda
Cocaine Energy Drink,8.4,280,33.3,energy
Cocaine Energy Shot,2,280,140,energy
Coffee (Brewed),8,163,20.4,coffee
"Coffee (Decaf, Brewed)",8,6,0.7,coffee
"Coffee (Decaf, Instant)",8,3,0.3,coffee
Coffee (Espresso),1.5,77,51.3,espresso
Coffee (Instant),8,57,7.1,coffee
Coffee Bean & Tea leaf Coffee,16,333,20.8,coffee
Cojones Energy Shot,2,125,62.5,energy
Coke Zero,16,45,2.8,soda
CoMotion,8.4,160,19,soda
Costa Coffee,15.22,277,18.2,coffee
Cougar Energy Double Shot,2.5,150,60,energy
Cranenergy Juice,12,105,8.8,drink
Crave Energy Drink,16,160,10,energy
Crunk Energy Drink,16,192,12,energy
Crystal Light Energy,16,60,3.8,energy
Crystal Light Focus,16,40,2.5,energy
Crystal Light Iced Tea,8,11,1.4,drink
Cult Cola,16.91,320,18.9,soda
Cyborg,8.43,80,9.5,energy
Dark Dog Energy Drink,8.45,80,9.5,energy
Death Wish Coffee,12,660,55,coffee
Demon Energy Drink,16.91,160,9.5,energy
Demon Energy Shot,2.03,200,98.5,shot
Deton8 Powdered Drink Mix,16,160,10,soda
Diablo Energy Drink,8.4,95,11.3,energy
Diabolo Loco Energy Drink,16,160,10,energy
Diet A&W Cream Soda,12,22,1.8,soda
Diet Cheerwine,12,48,4,soda
Diet Cherry Coca-Cola,12,34,2.8,soda
Diet Coke,12,45,3.8,soda
Diet Coke Plus,12,45,3.8,soda
Diet Coke with Lemon,12,45,3.8,soda
Diet Coke with Lime,12,45,3.8,soda
Diet Coke with Splenda,12,34,2.8,soda
Diet Dr Pepper,12,41,3.4,soda
Diet Dr Pepper Cherry,12,39,3.2,soda
Diet Dr Pepper Cherry Vanilla,12,39,3.2,soda
Diet Mountain Dew,12,54,4.5,soda
Diet Mr. Pibb,12,40,3.3,soda
Diet Pepsi,12,35,2.9,soda
Diet Pepsi UK,12.01,43,3.5,soda
Diet RC Cola,12,47,3.9,soda
Diet Ruby Red Squirt,12,39,3.2,soda
Diet Sunkist Orange Soda,12,42,3.5,soda
Diet Turbo Tea,18,90,5,soda
Diet Vanilla Coke,12,45,3.8,soda
Diet Wild Cherry Pepsi,12,38,3.2,soda
