country,score,investment,population
Afghanistan,3.632,53390000,35530081
Albania,4.586,1022132157,2873457
Algeria,5.295,,
Angola,3.795,-7397295409,29784193
Argentina,6.388,11516861462,44271041
Armenia,4.321,249759360.7,2930450
Australia,7.272,42579724525,24598933
Austria,7.139,15608009061,8809212
Azerbaijan,5.201,2867487000,9862429
Bahrain,6.105,518882978.7,1492584
Bangladesh,4.500,2151370680,164669751
Belarus,5.483,1276300000,9507875
Belgium,6.927,-39482279939,11372068
Belize,5.956,25637115.5,374681
Benin,4.141,184358176.5,11175692
Bhutan,5.082,-16553759.95,807610
Bolivia,5.752,724658401.2,11051600
Bosnia and Herzegovina,5.129,462732353.5,3507017
Botswana,3.590,400570859.8,2291661
Brazil,6.419,70685049298,209288278
Bulgaria,4.933,2182120000,7075991
Burkina Faso,4.424,485895760.8,19193382
Burundi,2.905,316473.4494,10864245
Cambodia,4.433,2788084322,16005373
Cameroon,4.975,814001700.8,24053727
Canada,7.328,27525629251,36708083
Central African Republic,3.083,17179339.68,4659080
Chad,4.301,334997123.7,14899994
Chile,6.476,6418583061,18054726
China,5.246,1.68224E+11,1386395000
Colombia,6.260,14013379726,49065615
Congo (Republic),4.559,1158816776,5260750
Congo (Democratic Republic),4.245,1053658066,81339988
Costa Rica,7.072,2856006597,4905769
Croatia,5.321,2040460131,4125700
Cyprus,5.762,11018805948,1179551
Czech Republic,6.711,9210079462,10591323
Denmark,7.555,2357373494,5769603
Dominican Republic,5.302,3597200000,10766998
Ecuador,5.973,618432412.3,16624858
Egypt,4.419,7391700000,97553151
El Salvador,6.167,330917516.7,6377853
Estonia,5.739,1555186132,1315480
Ethiopia,4.350,4017159565,104957438
Finland,7.632,14197916867,5511303
France,6.489,47335618619,67118648
Gabon,4.758,1498038420,2025137
Georgia,4.340,1829933045,3717100
Germany,6.965,77983391530,82695000
Ghana,4.657,3254990000,28833629
Greece,5.358,3571265225,10760421
Guatemala,6.382,1013100000,16913503
Guinea,3.964,577380000,12717176
Haiti,3.582,374855000,10981229
Honduras,5.504,1264579024,9265067
"Hong Kong SAR, China",5.430,1.22401E+11,7391700
Hungary,5.620,-13483539882,9781127
Iceland,7.495,-7016884950,341284
India,4.190,39966091359,1339180127
Indonesia,5.093,21464553719,263991379
Iran,4.707,5019000000,81162788
Iraq,4.456,-5032400000,38274618
Ireland,6.977,-3435981232,4813608
Israel,7.190,18168900000,8712400
Italy,6.000,9235201167,60551416
Ivory Coast,4.671,674683759.5,24294750
Jamaica,5.890,885730368.5,2890299
Japan,5.915,18837524125,126785797
Jordan,5.161,2029718310,9702353
Kazakhstan,5.790,4654211191,18037646
Kenya,4.410,671488392.9,49699862
Kosovo,5.662,324803899.6,1830700
Kuwait,6.083,113012065,4136528
Kyrgyzstan,5.131,-107212800,6201500
Laos,4.623,1599365808,6858160
Latvia,5.933,1137669498,1940740
Lebanon,5.199,2558729287,6082357
Lesotho,3.808,43161840.14,2233339
Liberia,3.495,247842983,4731906
Libya,5.566,,6374616
Lithuania,5.952,1190627310,2827721
Luxembourg,6.910,6622737299,599449
Macedonia,5.185,380738977.5,2083160
Madagascar,3.774,464856589.6,25570895
Malawi,3.587,277112167.4,18622104
Malaysia,6.322,9511691608,31624264
Mali,4.447,265602316.5,18541980
Malta,6.627,3461761703,465292
Mauritania,4.356,588217194.8,4420184
Mauritius,5.891,292650459.7,1264613
Mexico,6.488,32126857705,129163276
Moldova,5.640,160840000,3549750
Mongolia,5.125,1494350363,3075647
Montenegro,5.347,560290272,622471
Morocco,5.254,2680109856,35739580
Mozambique,4.417,2319071971,29668834
Myanmar,4.308,4684890471,53370609
Namibia,4.441,590755480.6,2533794
Nepal,4.880,196265098.6,29304998
Netherlands,7.441,3.16541E+11,17132854
New Zealand,7.324,2144466964,4793900
Nicaragua,6.141,896600000,6217581
Niger,4.166,334328639.3,21477348
Nigeria,5.155,3497233435,190886311
Northern Cyprus,5.835,,
Norway,7.594,1642539388,5282223
Pakistan,5.472,2815000000,197015955
Palestinian Territories,4.743,203376299.1,4684777
Panama,6.430,4826400000,4098587
Paraguay,5.681,507019886.6,6811297
Peru,5.663,6769497317,32165485
Philippines,5.524,10057387728,104918090
Poland,6.123,10673000000,37975841
Portugal,5.410,10022959166,10293718
Qatar,6.374,985989011,2639211
Romania,5.945,5952909608,19586539
Russia,5.810,28557440000,144495044
Rwanda,3.408,293413074,12208407
Saudi Arabia,6.371,1421300326,32938213
Senegal,4.631,532281342.4,15850567
Serbia,5.398,2878817772,7022268
Sierra Leone,4.571,560000000,7557212
Singapore,6.343,63633434111,5612253
Slovakia,6.173,5921628927,5439892
Slovenia,5.948,1081878508,2066748
Somalia,4.982,384000000,14742523
South Africa,4.724,,
South Korea,5.875,17052800000,51466201
South Sudan,3.254,1420000,12575714
Spain,6.310,6203743186,46572028
Sri Lanka,4.471,,
Sudan,4.139,1065298481,40533330
Sweden,7.314,31530837272,10067744
Switzerland,7.487,,
Syria,3.462,,18269868
Taiwan Province of China,6.441,,
Tajikistan,5.352,107268531.9,8921343
Tanzania,3.303,1180210225,57310019
Thailand,6.072,8045508382,69037513
Togo,3.999,145590758.6,7797694
Trinidad & Tobago,6.192,-422390129,1369125
Tunisia,4.592,809696518.8,11532127
Turkey,5.483,10886000000,80745020
Turkmenistan,5.636,2313501677,5758075
Uganda,4.161,699499135.7,42862958
Ukraine,4.103,2827000000,44831159
United Arab Emirates,6.774,10354223433,9400145
United Kingdom,6.814,64685400973,66022273
United States,6.886,3.54828E+11,325719178
Uruguay,6.379,-878316311.2,3456750
Uzbekistan,6.096,95766288,32387200
Venezuela,4.806,-68000000,31977065
Vietnam,5.103,14100000000,95540800
Yemen,3.355,-269850000,28250420
Zambia,4.377,865903085.2,17094130
Zimbabwe,3.692,247187738.8,16529904
