Title,Authors,Journal,Publication date,Research area,Cell Line,Cell Type,Species,Analyzer,XF Assay,Plate Reader Assay,Seeding density,Plate coating
_-1-Antitrypsin (AAT)-modified donor cells suppress GVHD but enhance the GVL effect: a role for mitochondrial bioenergetics,"Marcondes AM, Karoopongse E, Lesnikova M, Margineantu D, Welte T, Dinarello CA, Hockenbery D, Janciauskiene S, Deeg HJ",Blood,Oct 1 2014 12:00 AM,Immunology Research,T-cells,T-cells,Mouse,24,Cell Mitochondrial Stress Test,,8.0x10^5 cells/well,Not Specified
_-1-Antitrypsin (AAT)-modified donor cells suppress GVHD but enhance the GVL effect: a role for mitochondrial bioenergetics,"Marcondes AM, Karoopongse E, Lesnikova M, Margineantu D, Welte T, Dinarello CA, Hockenbery D, Janciauskiene S, Deeg HJ",Blood,Oct 1 2014 12:00 AM,Immunology Research,Natural Killer (NK) cells,Immune Cells,Mouse,24,Cell Mitochondrial Stress Test,,8.0x10^5 cells/well,Not Specified
_-enolase regulates the malignant phenotype of pulmonary artery smooth muscle cells via the AMPK-Akt pathway,"J. Dai, Q. Zhou, J. Chen, M. L. Rexius-Hall, J. Rehman and G. Zhou",Nat Commun,Sep 21 2018 12:00 AM,Cell Physiology Research,Pulmonary Artery Smooth Muscle Cells (PASMC),Pulmonary Artery Cells,Human,24,Cell Mitochondrial Stress Test,,3.0 x10^4 cells/well,Not Specified
_-enolase regulates the malignant phenotype of pulmonary artery smooth muscle cells via the AMPK-Akt pathway,"J. Dai, Q. Zhou, J. Chen, M. L. Rexius-Hall, J. Rehman and G. Zhou",Nat Commun,Sep 21 2018 12:00 AM,Cell Physiology Research,Pulmonary Artery Smooth Muscle Cells (PASMC),Pulmonary Artery Cells,Human,24,Glycolysis Stress Test,,3.0 x10^4 cells/well,Not Specified
_-ketoglutarate orchestrates macrophage activation through metabolic and epigenetic reprogramming,"P. S. Liu, H. Wang, X. Li, T. Chao, T. Teav, S. Christen, G. Di Conza, W. C. Cheng, C. H. Chou, M. Vavakova, C. Muret, K. Debackere, M. Mazzone, H. D. Huang, S. M. Fendt, J. Ivanisevic and P. C. Ho",Nat Immunol,Sep 1 2017 12:00 AM,Immunology Research,Bone Marrow-Derived Macrophages (BMDM),Immune Cells,Mouse,96,Cell Mitochondrial Stress Test,,1.0 x10^5 cells/well,Not Specified
_-ketoglutarate orchestrates macrophage activation through metabolic and epigenetic reprogramming,"P. S. Liu, H. Wang, X. Li, T. Chao, T. Teav, S. Christen, G. Di Conza, W. C. Cheng, C. H. Chou, M. Vavakova, C. Muret, K. Debackere, M. Mazzone, H. D. Huang, S. M. Fendt, J. Ivanisevic and P. C. Ho",Nat Immunol,Sep 1 2017 12:00 AM,Immunology Research,Bone Marrow-Derived Macrophages (BMDM),Immune Cells,Mouse,96,Cell Mitochondrial Stress Test with additional injection,,1.0 x10^5 cells/well,Not Specified
_-Lactalbumin-oleic acid complex kills tumor cells by inducing excess energy metabolism but inhibiting mRNA expression of the related enzymes,"B. Fang, M. Zhang, K. S. Ge, H. Z. Xing and F. Z. Ren",J Dairy Sci,Mar 13 2018 12:00 AM,Cancer Research,HeLa,HeLa,Human,24,Glycolysis Stress Test,,2.0 x10^4 cells/well,Not Specified
_-Lactalbumin-oleic acid complex kills tumor cells by inducing excess energy metabolism but inhibiting mRNA expression of the related enzymes,"B. Fang, M. Zhang, K. S. Ge, H. Z. Xing and F. Z. Ren",J Dairy Sci,Mar 13 2018 12:00 AM,Cancer Research,HeLa,HeLa,Human,24,Cell Mitochondrial Stress Test,,2.0 x10^4 cells/well,Not Specified
_-lipoic acid supplementation protects enzymes from damage by nitrosative and oxidative stress,"Hiller S, DeKroon R, Hamlett ED, Xu L, Osorio C, Robinette J, Winnik W, Simington S, Maeda N, Alzate O, Yi X",Biochim Biophys Acta,Sep 1 2015 12:00 AM,Cell Physiology Research,bEnd.3,Neuronal Cells,Mouse,24,Substrate utilization,,Not Specified,Not Specified
_-lipoic acid supplementation protects enzymes from damage by nitrosative and oxidative stress,"Hiller S, DeKroon R, Hamlett ED, Xu L, Osorio C, Robinette J, Winnik W, Simington S, Maeda N, Alzate O, Yi X",Biochim Biophys Acta,Sep 1 2015 12:00 AM,Cell Physiology Research,Endothelial Cells,Cardiac Cells,Mouse,24,Substrate utilization,,5.0 x10^4 cells/well,Not Specified
