camis,dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,grade_date,record_date,inspection_type
41451985,BRANCACCIO'S FOOD SHOP,BROOKLYN,3011,FORT HAMILTON PARKWAY,11218,7184351997,Sandwiches,2017-03-02T00:00:00+00:00,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,26,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50017896,SANGRIA,QUEENS,2902,FRANCIS LEWIS BLVD,11358,7183582727,Spanish,2016-12-23T00:00:00+00:00,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,12,A,2016-12-23T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50002037,CHABBA BBQ/FAMILY GRILL & CUISINE,BROOKLYN,786,CONEY ISLAND AVENUE,11218,9178938844,Indian,2016-01-04T00:00:00+00:00,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,33,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41172677,GREENLEAF'S/BANANAS,STATEN ISLAND,2655,RICHMOND AVENUE,10314,7183707345,Sandwiches/Salads/Mixed Buffet,2015-06-22T00:00:00+00:00,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41583191,QUEZADA RESTAURANT,BROOKLYN,1212,FLATBUSH AVENUE,11226,7182820622,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2018-01-23T00:00:00+00:00,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,30,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
41356229,INCHEON RESTAURANT,QUEENS,16225,DEPOT ROAD,11358,7183211533,Korean,2016-03-30T00:00:00+00:00,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50045642,THAI SLIDERS,MANHATTAN,150,8TH AVE,10011,2126750080,Thai,2017-10-05T00:00:00+00:00,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,2017-10-05T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
41204470,MCSWIGGANS,MANHATTAN,393,2 AVENUE,10010,2126833180,Irish,2017-12-07T00:00:00+00:00,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,38,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50048222,CARIBBEAN FIESTA,MANHATTAN,1544,MADISON AVE,10029,2128311400,Caribbean,2016-08-22T00:00:00+00:00,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,2016-08-22T00:00:00+00:00,2018-10-09T06:00:44+00:00,Pre-permit (Operational) / Re-inspection
50018783,PATE/ROLL SMASH,QUEENS,4543B,BELL BLVD,11361,3472350045,Asian,2016-03-31T00:00:00+00:00,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,20,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
