County,FIPS Code,Formatted FIPS,"Percent of workers age 30 or older, by residence, with some coll",,"Percent of workers, by residence, who earn $15,000 or less annua"
Osage,40113,40113,34.37,Oklahoma ,20.55
Texas,40139,40139,30.04,Oklahoma ,17.52
Cimarron,40025,40025,32.84,Oklahoma ,22.98
Beaver,40007,40007,31.77,Oklahoma ,19.17
McCurtain,40089,40089,34.07,Oklahoma ,24.49
Le Flore,40079,40079,34.55,Oklahoma ,23.51
Pushmataha,40127,40127,34.31,Oklahoma ,25
Pittsburg,40121,40121,34.69,Oklahoma ,23.03
Woods,40151,40151,34.08,Oklahoma ,20.98
Caddo,40015,40015,32.15,Oklahoma ,21.04
Woodward,40153,40153,33.39,Oklahoma ,21.85
Ellis,40045,40045,32.12,Oklahoma ,24.54
Roger Mills,40129,40129,32.83,Oklahoma ,20.9
Grady,40051,40051,33.25,Oklahoma ,20.03
Garfield,40047,40047,32.71,Oklahoma ,22.18
Harper,40059,40059,32.44,Oklahoma ,21.73
Comanche,40031,40031,32.9,Oklahoma ,24.79
Grant,40053,40053,34.02,Oklahoma ,21.37
Dewey,40043,40043,34.12,Oklahoma ,23.38
Kiowa,40075,40075,34.16,Oklahoma ,24.5
Custer,40039,40039,32.56,Oklahoma ,22.41
Washita,40149,40149,33.1,Oklahoma ,21.55
Creek,40037,40037,34.31,Oklahoma ,20.26
Major,40093,40093,31.2,Oklahoma ,21.84
Kay,40071,40071,33.57,Oklahoma ,21.91
Lincoln,40081,40081,34.4,Oklahoma ,20.76
Atoka,40005,40005,34.38,Oklahoma ,22.64
Blaine,40011,40011,32.83,Oklahoma ,22.99
Kingfisher,40073,40073,33.78,Oklahoma ,19.85
Bryan,40013,40013,33.9,Oklahoma ,20.02
Alfalfa,40003,40003,33.35,Oklahoma ,24.11
Canadian,40017,40017,33.56,Oklahoma ,17.36
Beckham,40009,40009,32.72,Oklahoma ,22.2
Stephens,40137,40137,33.37,Oklahoma ,21.21
Tillman,40141,40141,31.38,Oklahoma ,20.38
Muskogee,40101,40101,34.36,Oklahoma ,21.42
Delaware,40041,40041,34.21,Oklahoma ,22.95
Carter,40019,40019,33.32,Oklahoma ,20.77
Hughes,40063,40063,33.53,Oklahoma ,22.95
Garvin,40049,40049,33.85,Oklahoma ,20.79
Pottawatomie,40125,40125,34.03,Oklahoma ,22.48
Craig,40035,40035,34.28,Oklahoma ,22.31
Jackson,40065,40065,32.88,Oklahoma ,24.89
Cherokee,40021,40021,34.2,Oklahoma ,22.25
