School_Name,School_year,Reported,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
ADNA ELEMENTARY SCHOOL,2016-17,Y,271,94.5,4.8,0.7,3.3,0,0.7,2.6,2.6,3,3,1.8,4.8,256,13,2,9,0,2,7,7,8,8,5,13,ADNA SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-5,Y,N,"P.O. BOX 28
ADNA"
ADNA ELEMENTARY/MIDDLE/HIGH SCHOOL,2016-17,Y,377,86.7,4.5,0.5,3.4,0.3,0.3,3.2,2.9,2.7,2.4,2.7,2.7,327,17,2,13,1,1,12,11,10,9,10,10,ADNA SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,K-12,Y,Y,"P.O. BOX 148
ADNA"
ALMIRA ELEMENTARY SCHOOL,2016-17,Y,110,85.5,14.5,0.9,13.6,0,0,8.2,8.2,9.1,9.1,9.1,11.8,94,16,1,15,0,0,9,9,10,10,10,13,ALMIRA SCHOOL DISTRICT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y,"PO BOX 217
ALMIRA"
ARCADIA ELEMENTARY,2016-17,Y,450,90.2,8.4,1.6,6.7,0.2,0,5.6,5.3,5.6,5.3,6.4,7.1,406,38,7,30,1,0,25,24,25,24,29,32,DEER PARK SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,5-Mar,N,N,"E. 1120 &quot;D&quot; STREET
DEER PARK"
ARTZ FOX ELEMENTARY,2016-17,Y,564,96.6,0.2,0.2,0,0,0,0,0,0,0,0,0.2,545,1,1,0,0,0,0,0,0,0,0,1,MABTON SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -6,Y,Y,"P.O. BOX 40
MABTON"
ASOTIN ELEMENTARY,2016-17,Y,659,91.8,7,2.4,4.4,0.2,0,5.2,4.7,4.2,4.1,3.5,5.6,605,46,16,29,1,0,34,31,28,27,23,37,ASOTIN-ANATONE SCHOOL DISTRICT,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,PK-6,Y,Y,"PO BOX 489
ASOTIN"
BAKER VIEW CHRISTIAN SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y,"5353 WASCHKE RD
BELLINGHAM
(48.835182, -122.529837)"
BATTLE GROUND HIGH SCHOOL,2016-17,Y,2200,83.1,9.6,1.1,8.2,0.6,0.1,6.2,5.6,4.8,4.5,4.7,6,1828,212,25,181,13,3,137,124,106,98,103,132,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,12-Sep,N,N,"PO BOX 200
BATTLE GROUND"
BEACHWOOD ELEMENTARY SCHOOL,2016-17,Y,318,93.7,0.9,0,0.3,0.6,0,0.6,0.6,0.9,0.6,0.6,0.6,298,3,0,1,2,0,2,2,3,2,2,2,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"AMERICAN LK AVE &amp; CONCORD ST
LAKEWOOD"
BELFAIR ELEMENTARY,2016-17,Y,455,93,2.2,0.4,1.5,0,0.2,2,2,1.8,2,1.5,2,423,10,2,7,0,1,9,9,8,9,7,9,NORTH MASON SCHOOL DISTRICT,MASON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N,"NE 22900 HWY 3
BELFAIR"
