date,time,borough,zip_code,latitude,longitude,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,unique_key,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,location,vehicle_type_code_1,vehicle_type_code_2
2019-01-29T00:00:00,0:00,,,40.774994,-73.93428,3 STREET                        ,,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4071007,,,,"(40.774994, -73.93428)",Station Wagon/Sport Utility Vehicle,
2019-01-29T00:00:00,0:00,,,40.843136,-73.91096999999999,EAST MOUNT EDEN AVENUE          ,,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4071249,,,,"(40.843136, -73.91097)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,0:00,,,40.719784000000004,-73.78283,GRAND CENTRAL PARKWAY           ,,AVON STREET,0.0,0.0,0,0,0,0,0,0,,,,,,4072233,,,,"(40.719784, -73.78283)",,
2019-01-29T00:00:00,0:00,,,40.70725,-73.958466,MARCY AVENUE                    ,,DIVISION AVENUE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071354,,,,"(40.70725, -73.958466)",Station Wagon/Sport Utility Vehicle,Sedan
2019-01-29T00:00:00,0:00,,,40.61504,-74.06685,CLIFTON AVENUE                  ,,BAY STREET,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4071589,,,,"(40.61504, -74.06685)",Pick-up Truck,Sedan
2019-01-29T00:00:00,0:01,MANHATTAN,10019,40.76256,-73.98674,,311       WEST 50 STREET                ,,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Passing Too Closely,,,,4070846,,,,"(40.76256, -73.98674)",Sedan,Sedan
2019-01-29T00:00:00,0:10,MANHATTAN,10026,40.803726,-73.95779,WEST 114 STREET                 ,,MANHATTAN AVENUE,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,,,,,4070847,,,,"(40.803726, -73.95779)",Ambulance,
2019-01-29T00:00:00,0:22,MANHATTAN,10019,40.763542,-73.9852,8 AVENUE                        ,,WEST 52 STREET,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Passing Too Closely,,,,4070848,,,,"(40.763542, -73.9852)",Station Wagon/Sport Utility Vehicle,Dump
2019-01-29T00:00:00,0:29,,,40.813255,-73.93028000000001,EAST 138 STREET                 ,,GRAND CONCOURSE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4070873,,,,"(40.813255, -73.93028)",Sedan,Sedan
2019-01-29T00:00:00,0:30,MANHATTAN,10002,40.718983,-73.97559,,500       EAST HOUSTON STREET           ,,0.0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4071562,,,,"(40.718983, -73.97559)",Sedan,Sedan
2019-01-29T00:00:00,0:30,MANHATTAN,10032,40.8354,-73.9488,,157-10    RIVERSIDE DRIVE               ,,0.0,0.0,0,0,0,0,0,0,View Obstructed/Limited,View Obstructed/Limited,,,,4071572,,,,"(40.8354, -73.9488)",Sedan,Sedan
2019-01-29T00:00:00,0:43,BROOKLYN,11201,40.696033,-73.98453,TILLARY STREET                  ,,FLATBUSH AVENUE EXTENSION,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4070827,,,,"(40.696033, -73.98453)",Station Wagon/Sport Utility Vehicle,
2019-01-29T00:00:00,0:45,BROOKLYN,11207,40.67134,-73.89959,WILLIAMS AVENUE                 ,,PITKIN AVENUE,2.0,0.0,0,0,0,0,2,0,Traffic Control Disregarded,Unspecified,,,,4070743,,,,"(40.67134, -73.89959)",Station Wagon/Sport Utility Vehicle,Sedan
2019-01-29T00:00:00,0:46,MANHATTAN,10034,40.863792,-73.91942,10 AVENUE                       ,,WEST 206 STREET,3.0,0.0,0,0,0,0,3,0,Alcohol Involvement,Unspecified,,,,4070797,,,,"(40.863792, -73.91942)",Sedan,Sedan
2019-01-29T00:00:00,0:54,QUEENS,11416,40.684258,-73.84604,101 AVENUE                      ,,WOODHAVEN BOULEVARD,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4070760,,,,"(40.684258, -73.84604)",Sedan,Sedan
2019-01-29T00:00:00,0:55,BROOKLYN,11249,40.720290000000006,-73.95723000000001,BERRY STREET                    ,,NORTH 10 STREET,1.0,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4070742,,,,"(40.72029, -73.95723)",Sedan,Sedan
2019-01-29T00:00:00,10:00,BROOKLYN,11216,40.67989,-73.94034,FULTON STREET                   ,,THROOP AVENUE,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4071095,,,,"(40.67989, -73.94034)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,10:00,BROOKLYN,11223,40.60437,-73.97379000000001,,435       KINGS HIGHWAY                 ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071310,,,,"(40.60437, -73.97379)",Station Wagon/Sport Utility Vehicle,
2019-01-29T00:00:00,10:00,BROOKLYN,11249,40.700848,-73.96193000000001,WILLIAMSBURG STREET WEST        ,,HEWES STREET,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071353,,,,"(40.700848, -73.96193)",Sedan,Bike
2019-01-29T00:00:00,10:11,QUEENS,11377,40.746906,-73.90160999999999,62 STREET                       ,,39 AVENUE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4071111,,,,"(40.746906, -73.90161)",Sedan,Box Truck
2019-01-29T00:00:00,10:20,BROOKLYN,11207,40.677063000000004,-73.89820999999999,SHEFFIELD AVENUE                ,,FULTON STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4071117,,,,"(40.677063, -73.89821)",Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2019-01-29T00:00:00,10:20,BROOKLYN,11235,40.57629,-73.968544,OCEAN PARKWAY                   ,,BRIGHTON BEACH AVENUE,1.0,0.0,1,0,0,0,0,0,View Obstructed/Limited,,,,,4071133,,,,"(40.57629, -73.968544)",Station Wagon/Sport Utility Vehicle,
2019-01-29T00:00:00,10:20,MANHATTAN,10036,40.763996,-73.99601,11 AVENUE                       ,,WEST 47 STREET,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4072062,,,,"(40.763996, -73.99601)",Station Wagon/Sport Utility Vehicle,
2019-01-29T00:00:00,10:30,MANHATTAN,10009,40.732727000000004,-73.97451,AVENUE C                        ,,EAST 20 STREET,0.0,0.0,0,0,0,0,0,0,Oversized Vehicle,Passing Too Closely,,,,4071513,,,,"(40.732727, -73.97451)",Bus,Sedan
