impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K19-114622,A577662,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1947502,In Public Home,,Dog,,Male,Havanese,Brown / Black,01/01/2019 12:00:00 AM,Date Found,10800 NE 64TH ST,KIRKLAND,WA,98033,KIRKLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1947502,Image Copyright HLP Inc. 2019,,
K19-114625,A577665,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1947621,LOST,Shorty,Dog,,Male,Labrador Retriever,Yellow,01/01/2019 12:00:00 AM,Date Lost,27400 212TH PL SE,MAPLE VALLEY,WA,98038,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1947621,Image Copyright HLP Inc. 2019,,
K19-114702,A577893,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1948831,LOST,Cole,Cat,,Male,Domestic Shorthair,Unknown,01/02/2019 12:00:00 AM,Date Lost,FAIRVIEW AVE N,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1948831,Image Copyright HLP Inc. 2019,,
K19-114704,A577895,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1948917,LOST,Tater Tot,Dog,,Female,Pembroke Welsh Corgi,Unknown,01/04/2019 12:00:00 AM,Date Lost,200 PARK PL N,RENTON,WA,98057,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1948917,Image Copyright HLP Inc. 2019,,
K19-114706,A577897,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1948960,In Public Home,,Dog,,Male,Rottweiler,Black / Brown,01/04/2019 12:00:00 AM,Date Found,S 129TH ST AND 76TH AVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1948960,Image Copyright HLP Inc. 2019,,
K19-114713,A577905,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1949214,LOST,Freya,Dog,,Female,American Pit Bull Terrier,Unknown,01/05/2019 12:00:00 AM,Date Lost,13000 20TH AVE S,SEATAC,WA,98168,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1949214,Image Copyright HLP Inc. 2019,,
K19-114722,A577913,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1949384,In Public Home,,Dog,,Female,Labrador Retriever,White,01/06/2019 12:00:00 AM,Date Found,4800 139TH AVE SE,BELLEVUE,WA,98006,BELLEVUE,47.558295,-122.155875,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1949384,Image Copyright HLP Inc. 2019,,
K19-114746,A578100,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1950265,LOST,Chi Chi,Dog,,Female,Chihuahua - Long Haired,Unknown,01/08/2019 12:00:00 AM,Date Lost,3000 DIVISION ST,ENUMCLAW,WA,98022,ENUMCLAW,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1950265,Image Copyright HLP Inc. 2019,,
K19-114766,A578150,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1950637,LOST,Beau Jangles,Dog,,Male,Pit Bull,Unknown,01/02/2019 12:00:00 AM,Date Lost,160TH AND WOODLAND,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1950637,Image Copyright HLP Inc. 2019,,
K19-114765,A578149,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1950634,LOST,Cooper,Dog,,Male,Pit Bull,Unknown,01/02/2019 12:00:00 AM,Date Lost,6500 163RD STREET CT E,PUYALLUP,WA,98375,PIERCE COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1950634,Image Copyright HLP Inc. 2019,,
