,Jurisdiction,A.O. Number,Judge,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related,year,month
0,"ALABAMA, MIDDLE",2017-1,"ALBRITTON, III",NARCOTICS,WC,D,2017-02-28,30.0,0.0,30.0,INSTALLED AND USED,30.0,27.0,130,830,830,269859,0,3.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,2.0
6,"ALABAMA, NORTHERN",2015-7,HOPKINS,NARCOTICS,WC,D,2015-02-18,30.0,0.0,30.0,INSTALLED AND USED,30.0,16.0,61,505,331,222154,"1,522",42.0,0.0,0.0,0.0,0.0,42.0,,,2015.0,2.0
7,"ALABAMA, NORTHERN",2015-8,PROCTOR,NARCOTICS,WC,D,2015-07-27,30.0,0.0,30.0,INSTALLED AND USED,19.0,428.0,110,"8,133",139,0,0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-7,RELATED TO NO. 2015-7,2015.0,7.0
8,"ALABAMA, NORTHERN",2016-17,HAIKALA,NARCOTICS,WC,D,2016-04-18,30.0,0.0,30.0,INSTALLED AND USED,30.0,121.0,24,"3,632","1,683",47746,643,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2016-20,2016.0,4.0
9,"ALABAMA, NORTHERN",2016-18,BOWDRE,NARCOTICS,"WC,TX",D,2016-05-23,30.0,0.0,30.0,INSTALLED AND USED,21.0,385.0,93,"8,093","1,343",27458,"2,000",8.0,0.0,0.0,0.0,0.0,8.0,,,2016.0,5.0
10,"ALABAMA, NORTHERN",2016-19,HAIKALA,NARCOTICS,WC,D,2016-06-09,30.0,0.0,30.0,INSTALLED AND USED,7.0,2.0,0,17,0,16408,643,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2016-20,2016.0,6.0
11,"ALABAMA, NORTHERN",2016-20,HAIKALA,NARCOTICS,WC,D,2016-06-20,30.0,0.0,30.0,INSTALLED AND USED,9.0,3.0,5,34,2,25244,643,16.0,0.0,0.0,0.0,0.0,7.0,,,2016.0,6.0
21,"ALABAMA, SOUTHERN",2016-19,DUBOSE,NARCOTICS,"WC,TX",D,2016-04-25,30.0,0.0,30.0,INSTALLED AND USED,30.0,38.0,44,"1,164",160,26392,943,0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,4.0
26,ARIZONA,2015-283,ZAPATA,NARCOTICS,EO,D,2015-02-11,30.0,0.0,30.0,INSTALLED AND USED,28.0,24.0,18,698,183,23424,"1,504",0.0,0.0,0.0,0.0,0.0,0.0,,,2015.0,2.0
27,ARIZONA,2015-284,ZAPATA,NARCOTICS,EO,D,2015-03-12,30.0,0.0,30.0,INSTALLED AND USED,30.0,40.0,23,"1,200",150,22621,"1,013",0.0,0.0,0.0,0.0,0.0,0.0,,,2015.0,3.0
28,ARIZONA,2015-285,LOGAN,FRAUD,EO,B,2015-08-19,30.0,2.0,90.0,INSTALLED AND USED,90.0,1.0,29,138,100,33222,"4,700",11.0,0.0,0.0,0.0,0.0,0.0,,,2015.0,8.0
29,ARIZONA,2016-351,HUMETEWA,NARCOTICS,"WC,TX",D,2016-02-19,30.0,0.0,30.0,INSTALLED AND USED,29.0,260.0,232,"7,567","3,119",26000,"4,000",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,2.0
30,ARIZONA,2016-352,BURY,NARCOTICS,WC,D,2016-02-17,30.0,1.0,60.0,INSTALLED AND USED,60.0,1601.0,987,"96,065","26,251",2479497,"49,955",0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-89,2016.0,2.0
31,ARIZONA,2016-353,BURY,NARCOTICS,TX,D,2016-02-03,30.0,1.0,60.0,INSTALLED AND USED,58.0,720.0,78,"41,817","9,945",66547,"6,000",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,2.0
32,ARIZONA,2016-354,ZAPATA,NARCOTICS,TX,D,2016-04-06,30.0,0.0,30.0,INSTALLED AND USED,27.0,133.0,91,"3,604","2,282",35790,"2,256",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,4.0
33,ARIZONA,2016-355,MARQUEZ,NARCOTICS,"WC,TX",D,2016-04-12,30.0,0.0,30.0,INSTALLED AND USED,29.0,27.0,35,785,70,40464,"1,700",17.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,4.0
34,ARIZONA,2016-356,BURY,NARCOTICS,"WC,TX",D,2016-04-25,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,54190,"1,200",4.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,4.0
35,ARIZONA,2016-357,MARQUEZ,NARCOTICS,"WC,TX",D,2016-05-12,30.0,0.0,30.0,INSTALLED AND USED,29.0,64.0,63,"1,884",945,42146,"3,400",0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2016-355,2016.0,5.0
36,ARIZONA,2016-358,JORGENSON,NARCOTICS,"WC,TX",D,2016-07-05,30.0,0.0,30.0,INSTALLED AND USED,30.0,30.0,41,915,109,24727,"2,650",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,7.0
37,ARIZONA,2016-359,ZAPATA,NARCOTICS,TX,D,2016-04-05,30.0,2.0,90.0,INSTALLED AND USED,87.0,379.0,70,"33,031","10,902",77122,"6,000",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,4.0
38,ARIZONA,2016-360,MARQUEZ,NARCOTICS,TX,D,2016-03-18,30.0,2.0,90.0,INSTALLED AND USED,87.0,1395.0,297,"121,369","27,439",189540,"26,000",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,3.0
39,ARIZONA,2016-361,ZAPATA,NARCOTICS,TX,D,2016-03-08,30.0,5.0,180.0,INSTALLED AND USED,178.0,40.0,50,"7,204","4,919",225588,"4,512",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,3.0
40,ARIZONA,2016-362,ZAPATA,NARCOTICS,TX,D,2016-05-04,30.0,3.0,120.0,INSTALLED AND USED,120.0,106.0,93,"12,750","8,328",57427,"3,760",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,5.0
41,ARIZONA,2016-363,HUMETEWA,NARCOTICS,"WC,TX",D,2016-08-26,30.0,0.0,30.0,INSTALLED AND USED,11.0,1.0,6,21,7,40874,"4,752",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,8.0
42,ARIZONA,2016-364,TUCHI,NARCOTICS,"WC,TX",D,2016-08-12,30.0,0.0,30.0,INSTALLED AND USED,30.0,112.0,68,"3,377",940,23150,"2,242",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,8.0
43,ARIZONA,2016-365,HUMETEWA,NARCOTICS,"WC,TX",D,2016-07-25,30.0,1.0,60.0,INSTALLED AND USED,60.0,27.0,11,"1,669",292,81528,"7,008",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,7.0
44,ARIZONA,2016-366,BURY,NARCOTICS,TX,D,2016-09-07,30.0,0.0,30.0,INSTALLED AND USED,30.0,3.0,20,119,89,8788,"2,000",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,9.0
45,ARIZONA,2016-367,HUMETEWA,NARCOTICS,"WC,TX",D,2016-09-30,30.0,0.0,30.0,INSTALLED AND USED,30.0,100.0,65,"3,013",694,49152,"5,504",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,9.0
46,ARIZONA,2016-368,SNOW,NARCOTICS,"WC,TX",D,2016-10-04,30.0,0.0,30.0,INSTALLED AND USED,30.0,21.0,19,645,145,23459,673,0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,10.0
47,ARIZONA,2016-369,ZAPATA,NARCOTICS,TX,D,2016-07-14,30.0,2.0,90.0,INSTALLED AND USED,90.0,676.0,86,"60,843","9,071",104846,"10,000",2.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,7.0
48,ARIZONA,2016-370,ZAPATA,NARCOTICS,TX,D,2016-09-07,30.0,2.0,90.0,INSTALLED AND USED,90.0,22.0,41,"2,033","1,230",62883,"4,773",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,9.0
49,ARIZONA,2016-371,ZAPATA,NARCOTICS,TX,D,2016-11-30,30.0,0.0,30.0,INSTALLED AND USED,16.0,0.0,1,4,2,20624,752,0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,11.0
50,ARIZONA,2016-372,ZAPATA,NARCOTICS,"WC,TX",D,2016-10-12,30.0,1.0,60.0,INSTALLED AND USED,60.0,42.0,98,"2,577","1,031",45067,"1,250",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,10.0
