Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
"ALABAMA, MIDDLE",2017-1,"ALBRITTON, III",,NARCOTICS,WC,D,02/28/2017,30,0,30,INSTALLED AND USED,30,27,130,830,830,"269,859",0,3,0,0,0,0,0,,
"ALABAMA, MIDDLE",2017-2,"ALBRITTON, III",BLANCO,DRUGS - ILLEGAL,"WC,TX",D,04/05/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, MIDDLE",2017-3,"ALBRITTON, III",BLANCO,DRUGS - ILLEGAL,"WC,TX",D,02/28/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, MIDDLE",2017-4,"ALBRITTON, III",BLANCO,DRUGS - ILLEGAL,"WC,TX",D,03/07/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, MIDDLE",2017-5,"ALBRITTON, III",BLANCO,DRUGS - ILLEGAL,"WC,TX",D,04/05/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, MIDDLE",2017-6,"ALBRITTON, III",BLANCO,DRUGS - ILLEGAL,"WC,TX",D,02/06/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2015-7,HOPKINS,,NARCOTICS,WC,D,02/18/2015,30,0,30,INSTALLED AND USED,30,16,61,505,331,"222,154","1,522",42,0,0,0,0,42,,
"ALABAMA, NORTHERN",2015-8,PROCTOR,,NARCOTICS,WC,D,07/27/2015,30,0,30,INSTALLED AND USED,19,428,110,"8,133",139,0,0,0,0,0,0,0,0,RELATED TO NO. 2015-7,RELATED TO NO. 2015-7
"ALABAMA, NORTHERN",2016-17,HAIKALA,,NARCOTICS,WC,D,04/18/2016,30,0,30,INSTALLED AND USED,30,121,24,"3,632","1,683","47,746",643,0,0,0,0,0,0,,RELATED TO NO. 2016-20
"ALABAMA, NORTHERN",2016-18,BOWDRE,,NARCOTICS,"WC,TX",D,05/23/2016,30,0,30,INSTALLED AND USED,21,385,93,"8,093","1,343","27,458","2,000",8,0,0,0,0,8,,
"ALABAMA, NORTHERN",2016-19,HAIKALA,,NARCOTICS,WC,D,06/09/2016,30,0,30,INSTALLED AND USED,7,2,0,17,0,"16,408",643,0,0,0,0,0,0,,RELATED TO NO. 2016-20
"ALABAMA, NORTHERN",2016-20,HAIKALA,,NARCOTICS,WC,D,06/20/2016,30,0,30,INSTALLED AND USED,9,3,5,34,2,"25,244",643,16,0,0,0,0,7,,
"ALABAMA, NORTHERN",2017-7,BOWDRE,BLANCO,DRUGS - ILLEGAL,WC,D,05/10/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2017-8,COOGLER,BLANCO,DRUGS - ILLEGAL,"WC,TX",D,06/20/2017,8,0,8,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2017-9,HAIKALA,HULSER,DRUGS - ILLEGAL,"WC,TX",D,04/24/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
