State,Jurisdiction,A.O. Number,Judge,Prosecutor,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
ALASKA,3rd Judicial District,2017-1,MOTYKA,LINDEMUTH,MURDER,"WC,TX",D,05/15/2017,30,0,30,INSTALLED AND USED,30,29,47,886,,,,1,,,,,,,
ALASKA,3rd Judicial District,2017-2,MOTYKA,LINDEMUTH,MURDER,"WC,TX",D,05/15/2017,30,0,30,INSTALLED AND USED,30,29,47,886,,,,1,,,,,,,
ALASKA,3rd Judicial District,2017-3,MOTYKA,LINDEMUTH,MURDER,"WC,TX",D,05/15/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ALASKA,3rd Judicial District,2017-4,MOTYKA,LINDEMUTH,MURDER,"WC,TX",D,05/15/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ALASKA,4th Judicial District,2017-1,MACDONALD,LINDEMUTH,MURDER,"WC,TX",D,02/24/2017,30,0,30,INSTALLED AND USED,15,31,1,472,0,"60,744","20,000",3,,0,0,0,,,
ALASKA,4th Judicial District,2017-2,MACDONALD,LINDEMUTH,MURDER,"WC,TX",D,03/01/2017,30,0,30,INSTALLED AND USED,14,19,1,270,0,"60,744","20,000",3,0,0,0,0,,,
ALASKA,4th Judicial District,2017-3,MACDONALD,LINDEMUTH,MURDER,"WC,TX",D,02/24/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,MARICOPA,2015-8,GATES,CONTI,DRUGS - ILLEGAL,"WC,TX",D,09/30/2015,30,4,150,INSTALLED AND USED,79,94,30,"7,500","4,500","433,891","120,399",10,,,,,10,,
ARIZONA,MARICOPA,2016-5,MYERS,MONTGOMERY,DRUGS - ILLEGAL,"WC,TX",D,01/22/2016,30,4,150,INSTALLED AND USED,143,617,"1,140","88,365","17,271","398,921","54,080",4,0,0,0,0,0,,
ARIZONA,MARICOPA,2016-6,MYERS,METZ,DRUGS - ILLEGAL,WC,D,05/03/2016,30,2,90,INSTALLED AND USED,70,224,2,"15,700","3,042","286,186","15,976",17,,,,,,,
ARIZONA,MARICOPA,2016-7,MCCOY,BARRICK,DRUGS - ILLEGAL,"WC,TX",D,02/29/2016,30,5,180,INSTALLED AND USED,180,,,,,"217,289","20,513",14,,,,,14,,
ARIZONA,MARICOPA,2016-8,GRANVILLE,MONTGOMERY,DRUGS - ILLEGAL,"WC,TX",D,04/06/2016,30,12,390,INSTALLED AND USED,170,66,271,"11,297","3,659","437,468","43,535",15,,,,,,,
